Designator,Comment,Qty,LCSC Part #,Price ($)
"C1, C10",1uF,10,C52923,0.0132
"C2-C12, C17, C23",0.1uF / 100nF,65,C1525,0.0416
"C13, C14",10uF,10,C19702,0.0260
"C15, C16",33pF,10,C1562,0.0048
"C18, C25",10nF,10,C60133,0.0220
C20,2.2uF,5,C12530,0.0052
PWR,POWER LED,5,C2286,0.0128
RST,RUN LED,5,C2288,0.1980
D3,SK6812MINI,5,C7423117,0.4280
J1,USB-C 14P,5,C165948,0.3624
"J2, J3","Conn_01x20 (Pins)",10,C50981,0.4812
J4,"Conn_01x03 (Pins)",5,C49257,0.0692
"R1, R2",5.1K,10,C25905,0.0032
"R3, R4",27,10,C25100,0.0140
"R5, R6, R7",1K,15,C11702,0.0042
"R8, R9",4.7K,10,C25900,0.0032
R10,10K,5,C25744,0.0016
"R11, R12",680,10,C25130,0.0160
"SW1, SW2",Buttons,10,C720477,0.1904
U1,RP2040,5,C2040,1.9318
U2,MCP1700T-3302E,5,C39051,1.8070
U4,"SHT40 (Sensor)",10,C2848306,3.4270
U5,"W25Q16 (Flash)",5,C2843335,2.3964
U6,"MPU-6050 (Gyro)",5,C24112,15.7754
Y1,12MHz Crystal,5,C9002,0.1452
"PCBA (Parts + Assembly)",,,"Economic",65.32
"PCB",,,"Black",4.00
"Shipping",,,"GSDL",1.50
"TOTAL",,,,70.82
